SIFRA,"IME_VOLISCA"
110028,"OSNOVNA ŠOLA KOMENDA MOSTE, Moste 40"
110029,"OŠ KOMENDA MOSTE, GLAVARJEVA CESTA 37, KOMENDA"
111001,"Prostori LTO Laufer Cerkno, Močnikova ul. 2"
111002,"Osnovna šola Cerkno-stranski vhod, Bevkova ul. 26"
111005,"Mlekarna Planina"
111006,"Mlekarna Labinje"
111008,"Dom krajanov Bukovo"
111009,"Zakojca - stara mlekarna"
111010,"Osnovna šola v Novakih"
111011,"Osnovna šola Orehek"
111012,"Večnamenski objekt Lazec"
111014,"Prostori stare vojašnice na Kladju"
111015,"Jagršče 2, zgradba Rejc Viktorije"
111016,"Zgradba Makuc Stanka, Police 10"
111018,"Prostori Okrepčevalnice Kurn k, Reka 1a"
111019,"Gasilski dom Šebrelje"
111021,"Večnamenski objekt Poče"
111023,"Kulturni dom Ravne"
111024,"Gasilski dom Zakriž"
111026,"Mladinski center Idrija, Ulica IX. korpusa 17"
111028,"Mestna knjižnica Idrija, Ulica sv. Barbare 4-5"
111029,"Gimnazija J.Vega, Študentovska ul. 16, Idrija"
111032,"Osnovna šola Idrija, Lapajnetova ul. 50"
111034,"Balinarski klub, Gregorčičeva ulica 8, Idrija"
111035,"Dom upokojencev Idrija, Arkova ulica 4"
111036,"Dom upokojencev, Vojkova ul. 35, Idrija"
111037,"Gostilna Pri Fežnarju (Likar Ana), Idr. Bela 15"
111038,"V zgradbi Gantar Vlada, Čekovnik 15 (Pod bregom)"
111039,"Dom krajanov in gasilcev na Vojskem"
111041,"Kulturni dom v Sp. Idriji, Na vasi 34"
111042,"Osnovna šola, Šolska ul. 9, Spodnja Idrija"
111044,"Osnovna šola Kanomlja"
111046,"Zadružni dom, Idrijske Krnice 26"
111047,"Zgradba Franca Podobnika, Masore 11"
111048,"Gasilski dom na Sp. Vrsniku"
111050,"Osnovna šola v Ledinah"
111051,"Osnovna šola Črni Vrh, Črni Vrh 95"
111054,"Dvorana gasilskega doma v Doleh"
111055,"Osnovna šola Zavratec"
111056,"Osnovna šola Godovič"
201001,"Turistična pisarna na Logu v Trenti, Trenta 41"
201002,"Osnovna šola Soča, Soča 28"
201003,"Prostor krajevne skupnosti Kal-Koritnica 35"
201004,"Osnovna šola Bovec, Trg golobarskih žrtev 17"
201005,"Zdravstvena postaja Bovec, Kot 85"
201006,"Bar ""Kaninske legende"", Dvor 43, Bovec"
201007,"Plužna 26a - garaža, last Mlekuž Samota"
201008,"Kulturni dom, Log pod Mangartom 54"
201009,"Čezsoča 94, stara mlekarna"
201010,"Stanovanjska hiša Log Čezsoški 21(last Rot Selme)"
201011,"Osnovna šola Žaga, Žaga 29"
201012,"Prostori GD Srpenica, Srpenica 80a"
201013,"Bivša mlekarnica, Trnovo ob Soči 41"
201014,"Večnamenski objekt Logje 4"
201015,"Gasilski dom Breginj, Breginj 92"
201016,"Večnamenski objekt Sedlo 29"
201018,"Gostilna Kuzma Borjana 19"
201019,"Prostori KS Podbela 29"
201020,"Župnišče Kred 36"
201021,"Zbiralnica mleka Potoki 6"
201022,"Večnamenski objekt Staro selo 54"
201023,"Kobarid, Gregorčičeva ul. 20 - Dom A. Manfrede"
201024,"Kulturni dom Kobarid, Stresova ulica 2, Kobarid"
201025,"Prostor ob športnem igrišču, Sužid"
201026,"Mlekarna Svino 23 - v pritličju"
201027,"Prostori KS Idrsko, Idrsko 22a"
201028,"Prostor v bivši osnovni šoli, Livek 11"
201030,"V garaži Perati 11 (last Šurm Marije)"
201031,"Stanovanjska hiša Jevšček 4"
201032,"Drežnica 15 a - Gasilski dom"
201033,"Koseč 7"
201034,"Mlekarna Drežniške Ravne - v pritličju"
201035,"Mlekarna Magozd 16- v pritličju"
201036,"Osnovna šola Smast, Smast 13"
201037,"Družbeni objekt Ladra, Ladra 43"
201038,"Libušnje 4a-pis. kontejner (last Kurinčič Ivana)"
201039,"Garaža last gasilskega društva - Vrsno 37"
201040,"Stanovanjska hiša Krn 8 (last Manfreda Lidije)"
201041,"Prostori KS Kamno, Kamno 29 a"
201042,"Krajevna skupnost Volarje, Volarje 33"
201043,"Stanovanjska hiša Gabrje 33 (last Leban Milenke)"
201044,"Mlekarna Dolje 7 - v pritličju"
201045,"Zadružni dom Zatolmin, Zatolmin 1"
201046,"Glasbena šola Tolmin, vhod iz Prešernove ulice"
201047,"Knjižnica Cirila Kosmača Tolmin, Tumov drevored 6"
201048,"Rutarjeva ul.18 - Varstveno delovni center"
201049,"Tolmin, Brunov drevored 23 - Rdeči križ"
201050,"Mlekarna Žabče 30 - v pritličju"
201051,"Zadlaz Žabče 1"
201052,"Stanov. hiša Zadlaz-Čadrg 14 (last Rutar Simona)"
201053,"Vaški dom Tolminske Ravne"
201054,"Sirarna Čadrg 9 - v pritličju"
201055,"Krajevna skupnost Poljubinj 62 - v pritličju"
201056,"Krajevna skupnost Prapetno"
201057,"Kulturna dvorana Ljubinj 12"
201058,"Stara osnovna šola Volče 25 - v pritličju"
201059,"Družbeni prostor Čiginj 45 - v pritličju"
201060,"Družbeni prostor, Kozaršče 17"
201061,"Osnovna šola Most na Soči, Most na Soči 18a"
201063,"Garaža Sela pri Volčah 15 - (last Jug Draga)"
201064,"Mlekarna Modrejce 29 a"
201065,"St. hiša Modrej 10 a - (last Vogrič Adrijane)"
201066,"Čakalnica na železniški postaji, Postaja 10"
201067,"Prostori KS Idrija pri Bači, Idrija pri Bači 51"
201069,"Bivša gostilna v Bači pri Modreju 30"
201070,"Osnovna šola Kanalski Lom 19"
201071,"Tolminski Lom 11b, garaža - bivši obrat"
201072,"Dom Cirila Kosmača, Slap ob Idrijci 28 a"
201073,"KS Dolenja Trebuša Dolenja Trebuša 70"
201074,"Stopnik 9"
201075,"Izletniška kmetija Žerovc, Gorenja Trebuša 40b"
201076,"Dvorana - telovadnica, Šentviška Gora 19"
201077,"Mlekarna Prapetno Brdo 35 - v pritličju"
201078,"Prostor KS Pečine 30"
201079,"Gasilski dom Ponikve, Ponikve 26"
201080,"Večnamenski objekt Kneža, Kneža 78 - v pritličju"
201081,"Stanovanjska hiša Klavže 7 - last Šorli"
201082,"Mlekarna Logaršče 33"
201083,"Stara šola Temljine"
201084,"Dvorana Podmelec"
201086,"Dvorana KS Grahovo ob Bači 47 - v pritličju"
201087,"Prostori bivše trgovine Koritnica 50"
201088,"Krajevna skupnost Rut 29"
201089,"Krajevna skupnost Hudajužna, Hudajužna 22 c"
201090,"Krajevna skupnost Stržišče 28"
201091,"Prostori lovske družine Podbrdo, Podbrdo 39"
201092,"Gasilski dom Podbrdo, Podbrdo 8"
201093,"Dom upokojencev Petrovo Brdo, Petrovo Brdo 7"
201094,"Mlekarna Bača pri Podbrdu 12"
201096,"Trtnik 6"
201097,"Kuk 12"
202001,"Osnovna šola Lucija I"
202002,"Osnovna šola Lucija II"
202003,"Center za starejše občane Lucija I"
202004,"Center za starejše občane Lucija II"
202005,"Avditorij Portorož"
202006,"Dom družbenih organizacij Beli križ"
202007,"Glasbena šola Piran"
202008,"Zdravstveni dom Piran"
202009,"Krajevna skupnost Strunjan"
202010,"Osnovna šola Sečovlje"
202011,"Osnovna šola Sv. Peter"
202012,"Gasilski dom, Nova vas nad Dragonjo"
202013,"Kulturni dom B. Jakca Padna"
203001,"Dvorana Rdečega križa"
203002,"Palača Manzioli"
203003,"Športna dvorana, Kraška 1a"
203004,"Kulturni dom"
203005,"Mestna knjižnica Izola"
203006,"Osnovna šola Livade"
203007,"Osnovna šola Livade - prizidek šole"
203008,"KS Jagodje - Dobrava"
203009,"Baredi - Stara šola"
203010,"Šared - večnamensko igrišče"
203011,"Cetore - Zadružni dom"
203012,"Malija - stara šola"
203013,"Korte - Zadružni dom - TD Šparžin"
203014,"Medgeneracijski center Izola"
204001,"Vrtec Semedela - Slavnik - Nova ulica 2/b"
204002,"Vrtec Semedela - Slavnik - Nova ulica 2/b"
204003,"Dom KS - Jurčičeva 2"
204004,"Dom KS - Jurčičeva 2"
204005,"OŠ Dušan Bordon - Rozmanova 21a"
204006,"OŠ Dušan Bordon - Rozmanova 21a"
204007,"OŠ Anton Ukmar - Pot v gaj 2"
204008,"OŠ Anton Ukmar - Pot v gaj 2"
204009,"OŠ Anton Ukmar - Pot v gaj 2"
204010,"Obalni dom upokojencev Koper - Krožna cesta 5"
204011,"Sedež KS Žusterna - Dolga reber 5"
204012,"Sedež KS  - Oljčna pot 4"
204013,"Vrtec Semedela - Prisoje - Oljčna pot 63"
